il_id,veri_id,deger
5,4,0.71713985278654
5,5,0.480417754569191
5,6,0.613569321533923
5,7,0.102510460251046
5,8,0.285714285714286
5,9,0.421487603305785
5,10,0.652734375
5,11,0.0501999999999999
5,12,0.4
5,13,0.0039722702800042
5,14,0
5,15,0.0105518597548219
5,16,0.0099173164354196
5,17,0.21344190931816
5,18,0.0023148148148148
5,19,0
5,20,0
5,21,0.0019847735284533
5,22,0.0043290043290043
5,23,0.0014710091429697
5,24,0.283272823873196
5,25,0.359022769498182
5,26,0.784566628050141
5,27,0.578298570424186
5,28,0.857303370786517
5,29,0.7646229739253
5,30,0.185839897417109
5,31,0.4
5,32,0.0142502067589315
5,33,0.0266664242997109
5,34,0.248916790981138
5,35,0.887863111818544
5,36,0
5,37,0.306024096385542
5,38,0
5,39,0.443635304398485
5,40,0.76
5,41,0.504672897196262
5,42,0.187853916
5,43,0.574850299
5,44,0.000242728
5,45,0.018418775
5,46,0.0720062623334307
5,47,0.0214206066201742
5,48,0.0200750540345384
5,49,0.57782313299338
5,50,0.202285259805378
5,51,0.035325655850553
6,1,0.592555895085886
6,2,0.344894831686027
6,3,0.0768793802014892
6,4,0.0525762355415352
6,5,1
6,6,0.0501474926253687
6,7,0.735983263598326
6,8,0.428571428571428
6,9,0.31404958677686
6,10,0.64453125
6,11,0.3128
6,12,0.866666666666667
6,13,0.411759076280168
6,14,0.352941176470588
6,15,0.445738672022091
6,16,0.500954041129773
6,17,0.808495271019663
6,18,0.358796296296296
6,19,0.25
6,20,0.777777777777778
6,21,0.314542169031608
6,22,0.312640692640693
6,23,0.125707996308697
6,24,1
6,25,0.784673490926788
6,26,0.860647467660958
6,27,0.720178111085071
6,28,0.601123595505618
6,29,0.988724453840733
6,30,1
6,31,1
6,32,0.359172721190622
6,33,0.35773362659735
6,34,0.331536440511478
6,35,0.822655524605385
6,36,0.5
6,37,0.506827309879518
6,38,0.31875
6,39,0.43402272065249
6,40,0.46
6,41,0.121495327102804
6,42,0.333096546
6,43,0.288622754
6,44,0.092560129
6,45,0.476068159
6,46,0.20411634074076
6,47,0.325448617529901
6,48,0.544691596810567
6,49,0.672658060795041
6,50,0.400655928995732
6,51,0.464353567661396
7,1,0.168411979416195
7,2,0.987789434235258
7,3,0.0414510786246167
7,4,0.347003154574132
7,5,0.629242819843342
7,6,0.230088495575221
7,7,0.879916317991632
7,8,1
7,9,0.0743801652892562
7,10,0.314453125
7,11,0.3173
7,12,0.6
7,13,0.0541719384827404
7,14,0.0588235294117647
7,15,0.0456466256641981
7,16,0.0807754823207933
7,17,0.588374273759362
7,18,0.0462962962962962
7,19,0.006578947368421
7,20,0.111111111111111
7,21,0.0338300204402049
7,22,0.0709090909090909
7,23,0.0198836338493113
7,24,0.606658992296113
7,25,0.0592754646756119
7,26,0.676614574037379
7,27,0.0919146941645183
7,28,0.484269662921348
7,29,1
7,30,0.549734383586737
7,31,1
7,32,0.153388609005463
7,33,0.138658135349826
